district,neighborhood,room,living_room,area,age,floor,price
 Kağıthane , Ortabayır Mah.,2,1,90,13,2,33000
 Beşiktaş , Vişnezade Mah.,1,1,141,15,4,120000
 Kadıköy , Erenköy Mah.,3,1,125,45,1,45000
 Şişli , Feriköy Mah.,2,1,90,8,2,14500
 Fatih , Yedikule Mah.,5,1,540,0,0,600000
 Esenyurt , Yeşilkent Mah.,3,1,127,12,17,19500
 Pendik , Batı Mah.,1,1,42,15,1,15000
 Bahçelievler , Çobançeşme Mah.,2,1,120,0,3,38000
 Kağıthane , Çeliktepe Mah.,3,1,160,16,4,22000
 Şişli , Merkez Mah.,2,1,95,30,0,25000
 Küçükçekmece , Yeşilova Mah.,2,1,90,8,1,21000
 Avcılar , Denizköşkler Mah.,2,1,100,4,0,16000
 Maltepe , Altıntepe Mah.,2,1,75,1,2,40000
 Bahçelievler , Soğanlı Mah.,3,1,135,24,4,26500
 Şişli , Merkez Mah.,2,1,110,30,5,40000
 Gaziosmanpaşa , Merkez Mah.,2,1,110,25,2,30000
 Ümraniye , Namık Kemal Mah.,2,1,85,14,0,24000
 Beşiktaş , Türkali Mah.,2,1,75,35,1,28000
 Bahçelievler , Siyavuşpaşa Mah.,2,1,110,37,2,20000
 Kağıthane , Emniyet Evleri Mah.,2,1,85,10,1,30000
 Beşiktaş , Arnavutköy Mah.,2,1,120,45,2,50000
 Beşiktaş , Dikilitaş Mah.,3,1,100,0,1,46000
 Çekmeköy , Nişantepe Mah.,2,1,75,0,6,27000
 Maltepe , Altayçeşme Mah.,3,1,125,26,4,37500
 Kadıköy , Göztepe Mah.,2,1,70,0,1,55000
 Kadıköy , Kozyatağı Mah.,2,1,100,6,4,55000
 Kadıköy , 19 Mayıs Mah.,3,1,115,6,9,68000
 Esenyurt , Yeşilkent Mah.,1,2,115,14,3,20000
 Beylikdüzü , Cumhuriyet Mah.,3,1,175,1,3,56000
 Kağıthane , Seyrantepe Mah.,2,0,85,18,4,25000
 Eyüpsultan , Güzeltepe Mah.,4,1,214,6,15,114000
 Fatih , Şehremini Mah.,2,1,85,38,1,22000
 Sarıyer , Huzur Mah.,3,1,170,10,7,75000
 Ümraniye , Finanskent Mah.,2,1,102,2,3,43000
 Zeytinburnu , Kazlıçeşme Mah.,3,1,160,4,13,110000
 Sarıyer , Uskumruköy Mah.,3,1,218,11,2,95000
 Kağıthane , Seyrantepe Mah.,2,1,100,0,2,41000
 Bayrampaşa , Terazidere Mah.,2,1,90,30,2,23000
 Çekmeköy , Mimar Sinan Mah.,1,1,70,0,0,17000
 Kağıthane , Gültepe Mah.,2,1,95,5,0,21000
 Ataşehir , Küçükbakkalköy Mah.,1,0,45,10,18,28000
 Üsküdar , Zeynep Kamil Mah.,2,1,120,25,5,38000
 Eyüpsultan , Güzeltepe Mah.,2,1,95,0,6,32000
 Zeytinburnu , Seyitnizam Mah.,3,1,125,26,7,38500
 Küçükçekmece , Cumhuriyet Mah.,3,1,125,6,2,18000
 Ataşehir , İçerenköy Mah.,2,1,85,14,2,29000
 Bakırköy , Şenlikköy Mah.,5,1,220,4,5,105000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,120,40,4,25000
 Bahçelievler , Bahçelievler Mah.,2,1,90,33,2,17000
 Ataşehir , İçerenköy Mah.,3,1,100,30,2,22500
 Kadıköy , Merdivenköy Mah.,2,1,90,0,1,52000
 Şişli , Merkez Mah.,1,1,70,11,2,40000
 Silivri , Yeni Mah.,3,1,145,0,4,37000
 Esenyurt , Güzelyurt Mah.,2,1,115,4,1,15000
 Zeytinburnu , Nuripaşa Mah.,3,1,130,29,1,26500
 Şişli , Teşvikiye Mah.,2,1,120,6,4,145000
 Sarıyer , Reşitpaşa Mah.,3,1,120,25,2,42000
 Beyoğlu , Katip Mustafa Çelebi Mah.,1,1,65,25,2,22500
 Kağıthane , Çeliktepe Mah.,3,1,100,35,0,18000
 Şişli , Mecidiyeköy Mah.,2,1,85,18,2,22000
 Fatih , Şehremini Mah.,2,1,85,35,4,18000
 Üsküdar , Valide-i Atik Mah.,2,1,85,30,3,25000
 Beykoz , Acarlar Mah.,6,2,1000,11,0,400000
 Beyoğlu , Ömer Avni Mah.,3,1,110,31,2,40000
 Esenyurt , Bağlarçeşme Mah.,2,1,100,8,1,12000
 Beykoz , Acarlar Mah.,4,1,200,11,0,110000
 Kartal , Hürriyet Mah.,2,1,100,27,3,17000
 Üsküdar , Cumhuriyet Mah.,1,1,100,8,0,21500
 Avcılar , Merkez Mah.,2,0,75,1,1,20000
 Fatih , Molla Gürani Mah.,3,1,140,30,1,30000
 Fatih , Seyyid Ömer Mah.,2,1,80,42,1,18500
 Kartal , Karlıktepe Mah.,3,1,105,20,5,27000
 Kağıthane , Sultan Selim Mah.,2,1,85,25,0,20500
 Beykoz , Kanlıca Mah.,3,1,300,7,2,225000
 Fatih , Şehremini Mah.,3,1,100,39,2,29000
 Bakırköy , Yeşilköy Mah.,2,1,85,5,0,45000
 Şişli , Fulya Mah.,3,1,150,35,1,40000
 Şişli , Mecidiyeköy Mah.,2,1,105,20,4,24000
 Kağıthane , Ortabayır Mah.,1,1,60,30,1,20000
 Şişli , Gülbahar Mah.,1,1,65,6,2,15500
 Şişli , Mecidiyeköy Mah.,2,1,80,22,1,18000
 Şişli , Mecidiyeköy Mah.,1,1,60,4,0,40000
 Beşiktaş , Levent Mah.,4,1,225,15,2,175000
 Maltepe , Altıntepe Mah.,3,1,135,26,5,35000
 Kağıthane , Emniyet Evleri Mah.,2,1,70,28,2,18000
 Maltepe , Yalı Mah.,2,1,70,0,2,40000
 Maltepe , Altayçeşme Mah.,2,1,105,26,1,33000
 Çekmeköy , Mimar Sinan Mah.,4,2,250,3,4,46000
 Esenyurt , Yeşilkent Mah.,2,1,110,14,10,17500
 Maltepe , Cevizli Mah.,1,1,83,1,21,40000
 Kadıköy , Fikirtepe Mah.,2,1,145,4,3,54000
 Sarıyer , Uskumruköy Mah.,4,1,305,8,2,250000
 Bahçelievler , Bahçelievler Mah.,3,1,120,6,2,55000
 Tuzla , Postane Mah.,3,1,100,0,2,32000
 Sarıyer , Maden Mah.,3,1,108,16,0,32000
 Bakırköy , Şenlikköy Mah.,4,1,220,30,3,95000
 Beşiktaş , Kuruçeşme Mah.,3,1,230,35,4,150000
 Beşiktaş , Nisbetiye Mah.,4,1,220,35,7,80000
 Beşiktaş , Gayrettepe Mah.,2,1,160,30,2,57000
 Ataşehir , Küçükbakkalköy Mah.,3,1,90,8,4,46000
 Beşiktaş , Bebek Mah.,2,1,100,40,3,45000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,115,40,5,25000
 Beşiktaş , Dikilitaş Mah.,3,1,120,27,-1,26000
 Sarıyer , Maslak Mah.,2,1,130,10,17,69999
 Zeytinburnu , Nuripaşa Mah.,2,1,80,28,0,13000
 Bahçelievler , Zafer Mah.,2,1,100,30,3,18000
 Şişli , Mecidiyeköy Mah.,1,1,59,7,1,23000
 Küçükçekmece , Yeni Mahalle Mah.,1,1,75,15,0,15000
 Bayrampaşa , Terazidere Mah.,1,1,65,28,2,15000
 Kağıthane , Ortabayır Mah.,2,1,85,35,1,20000
 Üsküdar , Cumhuriyet Mah.,1,1,60,27,5,14000
 Beyoğlu , Gümüşsuyu Mah.,2,1,90,40,2,30000
 Kağıthane , Telsizler Mah.,2,1,75,1,1,32000
